,0
0,https://news.mb.com.ph/2020/03/01/south-korea-reports-376-new-coronavirus-cases-total-rises-to-3526/
1,https://news.mb.com.ph/2020/03/01/trump-says-ready-to-help-iran-with-coronavirus-if-asked/
2,https://news.mb.com.ph/2020/03/01/nigeria-moves-coronavirus-patient-for-better-health-care/
3,https://news.mb.com.ph/2020/03/01/trump-moves-to-calm-virus-fears-after-first-death-on-us-soil/
4,https://news.mb.com.ph/2020/03/01/ireland-confirms-first-coronavirus-case/
5,https://news.mb.com.ph/2020/03/01/brazil-confirms-second-case-of-new-coronavirus-health-ministry/
6,https://news.mb.com.ph/2020/03/01/washington-state-man-becomes-first-us-coronavirus-fatality/
7,https://news.mb.com.ph/2020/03/01/mainland-china-reports-573-new-covid-19-cases-death-toll-at-2870/
8,https://news.mb.com.ph/2020/02/29/iran-calls-on-people-to-stay-at-home-as-death-toll-rises-to-43/
9,https://news.mb.com.ph/2020/02/29/qatar-reports-its-first-coronavirus-in-man-who-returned-from-iran/
10,https://news.mb.com.ph/2020/02/29/hoarding-in-the-usa-coronavirus-sparks-consumer-concerns/
11,https://news.mb.com.ph/2020/02/29/how-long-can-coronavirus-survive-on-surfaces/
