ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,points,REGION,PROVINCE,ÇITY,BRGY,PSGC
0,Isetann Carriedo,Joymart Consolidated,14.5985001,120.9814821,,,,,POINT (120.9814821 14.5985001),NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",QUIAPO,Barangay 306,PH133903015
1,Pavilion at Greenfield District,,14.5794301,121.0528082,,,,,POINT (121.0528082 14.5794301),NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,Highway Hills,PH137401013
2,Prism Plaza @ FiveE-comCenter,,14.539467,120.9826,,,,,POINT (120.9826 14.539467),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
3,Worldwide Corporate Center Podium,,14.5820137,121.0521459,,,,,POINT (121.0521459 14.5820137),NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF MANDALUYONG,Highway Hills,PH137401013
4,Shoppesville Arcade at Greenhills Shopping Center,,14.6019843,121.0489887,,,,,POINT (121.0489887 14.6019843),NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF SAN JUAN,Greenhills,PH137405021
5,Tutuban Center (Centermall Building),"Prime Orion Philippines, Inc.; Ayala Property Management Corp.",14.6087349,120.9708793,,,,,POINT (120.9708793 14.6087349),NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,Barangay 8,PH133901008
6,Ayala Malls Arca South,,14.577926,120.9821404,,,,,POINT (120.9821404 14.577926),NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",ERMITA,Barangay 667,PH133908009
7,Metropoint Mall,,14.5375678,121.0022005,,,,,POINT (121.0022005 14.5375678),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 147,PH137605147
8,SM Cherry Congressional,,14.6015401,121.0415203,,,,,POINT (121.0415203 14.6015401),NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF SAN JUAN,Little Baguio,PH137405009
9,Duty Free Philippines Fiesta Mall,,14.5010962,120.9994315,,,,,POINT (120.9994315 14.5010962),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Santo Niño,PH137604005
10,Baclaran Supermall,,14.5329258,120.9968629,,,,,POINT (120.9968629 14.5329258),NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Baclaran,PH137604001
11,Tutuban Center,,14.6072248,120.9730539,,,,,POINT (120.9730539 14.6072248),NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",TONDO I / II,"Tutuban Mall (Claimed by Five Barangays of Tondo, Manila)",
